Country,Region
Anguilla,Americas
Antigua and Barbuda,Americas
Argentina,Americas
Aruba,Americas
Bahamas,Americas
Barbados,Americas
Belize,Americas
Bermuda,Americas
Bolivia (Plurinational State of),Americas
"Bonaire, Sint Eustatius and Saba",Americas
Bouvet Island,Americas
Brazil,Americas
Canada,Americas
Cayman Islands,Americas
Chile,Americas
Colombia,Americas
Costa Rica,Americas
Cuba,Americas
Curaçao,Americas
Dominica,Americas
Dominican Republic,Americas
Ecuador,Americas
El Salvador,Americas
Falkland Islands (Malvinas),Americas
French Guiana,Americas
Greenland,Americas
Grenada,Americas
Guadeloupe,Americas
Guatemala,Americas
Guyana,Americas
Haiti,Americas
Honduras,Americas
Jamaica,Americas
Martinique,Americas
Mexico,Americas
Montserrat,Americas
Nicaragua,Americas
Panama,Americas
Paraguay,Americas
Peru,Americas
Puerto Rico,Americas
Saint Barthélemy,Americas
Saint Kitts and Nevis,Americas
Saint Lucia,Americas
Saint Martin (French part),Americas
Saint Pierre and Miquelon,Americas
Saint Vincent and the Grenadines,Americas
Sint Maarten (Dutch part),Americas
South Georgia and the South Sandwich Islands,Americas
Suriname,Americas
Trinidad and Tobago,Americas
Turks and Caicos Islands,Americas
United States of America,Americas
Uruguay,Americas
Venezuela (Bolivarian Republic of),Americas
Virgin Islands (British),Americas
Virgin Islands (U.S.),Americas
