Country,Region
American Samoa,Oceania
Australia,Oceania
Christmas Island,Oceania
Cocos (Keeling) Islands,Oceania
Cook Islands,Oceania
Fiji,Oceania
French Polynesia,Oceania
Guam,Oceania
Heard Island and McDonald Islands,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia (Federated States of),Oceania
Nauru,Oceania
New Caledonia,Oceania
New Zealand,Oceania
Niue,Oceania
Norfolk Island,Oceania
Northern Mariana Islands,Oceania
Palau,Oceania
Papua New Guinea,Oceania
Pitcairn,Oceania
Samoa,Oceania
Solomon Islands,Oceania
Tokelau,Oceania
Tonga,Oceania
Tuvalu,Oceania
United States Minor Outlying Islands,Oceania
Vanuatu,Oceania
Wallis and Futuna,Oceania
